,crop_time,image_time,human_len,ai_len,prob,similarity,correct
403,1.021,5.028335964751239,7,7,0.9979662895202636,1.0,0
404,1.246,6.136441343859006,11,4,0.3011190891265869,0.4,0
405,1.646,8.106406462272812,8,8,0.9983577728271484,0.125,0
406,1.534,7.554816229116946,10,10,0.9640788435935974,0.1,0
407,1.369,4.548588989169676,7,7,0.9989417791366576,1.0,0
408,1.796,5.967323465703971,5,5,0.5189592838287354,1.0,0
409,1.021,3.392337003610109,11,11,0.9449200630187988,1.0,0
410,1.354,4.498750541516246,4,4,0.7159603834152222,1.0,0
411,1.699,9.761074061032863,11,9,0.9916589856147766,0.1,0
412,1.932,11.099702816901408,14,13,0.9489677548408508,0.9629629629629628,0
413,2.259,12.97837922535211,10,9,0.9064462780952454,0.9473684210526316,0
414,2.63,15.109843896713615,13,7,0.6962141394615173,0.5,0
415,1.612,8.461845639719924,10,10,0.27096161246299744,0.0,0
416,1.815,9.527450270528325,7,7,0.9855849742889404,0.0,0
417,2.717,14.262304344366642,7,7,0.9796370267868042,0.0,0
418,2.257,11.847633752387017,9,9,0.9543080925941468,1.0,0
419,2.536,13.312183959261617,9,8,0.9946280717849731,0.9411764705882352,0
420,1.631,8.561582033736473,7,7,0.8908498883247375,0.8571428571428571,0
421,2.168,11.694820198206699,13,12,0.8549595475196838,0.72,1
422,0.852,4.59593487494101,6,6,0.7609440684318542,0.16666666666666666,1
423,1.218,6.570244926852289,5,3,0.5899213552474976,0.5,1
424,0.977,19.528534495021336,1,3,0.41053375601768494,0.0,1
425,0.772,15.430940256045519,1,3,0.4813588559627533,0.0,1
426,0.747,14.931233641536272,1,3,0.4049438834190369,0.0,1
427,0.759,15.171092816500714,1,3,0.452626496553421,0.0,1
428,1.083,21.64729054054054,1,12,0.3790405690670013,0.0,1
429,1.286,25.704908250355615,1,4,0.16736693680286407,0.0,1
430,1.72,12.405053182785139,11,9,0.9979441165924072,0.9,0
431,1.664,12.001167730322368,8,8,0.9997119307518004,1.0,0
432,1.359,9.801434462444771,10,9,0.8359459042549133,0.9473684210526316,0
433,1.368,9.866344624447718,13,10,0.9567465782165528,0.7826086956521741,0
434,1.949,11.387427882357965,3,3,0.9922341108322144,1.0,0
435,3.527,20.607213002091598,6,6,0.9052249193191528,1.0,0
436,3.298,19.26923404618602,17,15,0.3557700514793396,0.0,0
437,8.79,51.357358176463066,12,11,0.9980772733688354,0.9565217391304348,0
439,1.897,11.083607333418707,2,2,0.996519923210144,1.0,0
440,2.073,12.111923037520809,4,4,0.970239520072937,1.0,0
441,4.895,35.645187356979406,7,7,0.9242210388183594,1.0,0
442,9.859,71.79282985749947,20,18,0.868839681148529,0.8947368421052632,0
443,2.894,21.073988194299982,18,17,0.9908823370933532,0.9142857142857144,0
446,4.384,31.92410651133763,3,3,0.8790358901023865,1.0,0
447,6.825,49.69936745891408,8,8,0.9998968839645386,1.0,0
448,2.633,19.17339699916788,7,7,0.7837783694267273,0.8571428571428571,0
449,2.443,14.48437595772787,8,8,0.8165853023529053,0.875,1
450,0.8,4.743143989431967,5,4,0.5728973746299744,0.0,1
451,0.542,3.2134800528401586,6,6,0.7996864914894104,0.0,0
452,0.985,2.7904637550652867,5,7,0.9999576210975648,0.16666666666666666,1
453,5.139,14.558571814497977,11,11,0.9851471781730652,0.18181818181818185,1
454,1.698,4.810362899594778,5,3,0.9265411496162416,0.0,1
455,1.062,3.008601530841964,2,7,0.5590947270393372,0.0,1
456,7.771,24.248451368343197,5,5,0.9999756217002868,1.0,0
457,3.227,10.069457285502958,4,4,0.9989832639694214,1.0,0
458,2.853,8.902436205621301,4,4,0.9984710216522216,1.0,0
459,1.878,5.860068417159763,4,4,0.995244026184082,1.0,0
460,3.358,10.478226701183432,11,10,0.986312210559845,0.7619047619047619,0
461,2.545,7.941360022189349,7,8,0.972452998161316,0.8,0
462,0.698,3.092773376324274,1,7,0.2613411545753479,0.0,1
463,0.623,2.7604553201289725,1,3,0.5163432955741882,0.0,1
464,0.804,3.5624495624136348,1,3,0.4778483211994171,0.0,1
465,0.74,3.278871487793644,1,1,0.34164586663246155,0.0,1
466,0.683,3.026309765085214,1,9,0.2683591842651367,0.0,1
467,0.794,3.5181404882542613,1,3,0.3918185234069824,0.0,1
468,0.42,2.1703468780971256,1,6,0.5174739360809326,0.0,1
469,0.343,1.7724499504459865,1,5,0.21314123272895813,0.0,1
470,0.389,2.0101546085232904,1,5,0.3331427574157715,0.0,1
471,0.42,2.1703468780971256,1,13,0.3839303553104401,0.0,1
472,0.446,2.304701684836472,1,6,0.24336840212345126,0.0,1
473,0.351,2.0363949152542373,1,8,0.31417644023895264,0.0,1
474,0.485,2.813822033898305,1,2,0.3132680952548981,0.0,1
475,0.479,2.7790118644067796,1,3,0.4915183782577514,0.0,1
476,0.455,2.6397711864406785,1,2,0.1065988764166832,0.0,1
477,6.673,43.19801510903003,7,7,0.9996244311332704,1.0,0
478,2.936,19.006349821686218,5,5,0.9999212622642516,1.0,0
479,6.525,42.239929355075816,6,6,0.9986683130264282,1.0,0
480,8.349,54.0476889173223,11,10,0.9176675081253052,0.7619047619047619,0
481,2.468,15.97672730242561,14,13,0.9989038109779358,0.9629629629629628,0
482,3.31,21.42745841613808,18,18,0.8290219902992249,0.8888888888888888,0
483,6.472,41.89683107832195,14,13,0.9828534126281738,0.9629629629629628,0
484,3.284,25.709419682797886,9,9,0.9450350999832152,0.8888888888888888,0
485,1.854,14.514392232614883,16,15,0.8054651021957397,0.8387096774193549,1
486,1.321,10.34170018300122,5,11,0.21057260036468506,0.25,0
487,1.723,13.488833773891823,5,6,0.2834808826446533,0.9090909090909092,0
488,9.983,42.48984325149772,7,7,0.9999180436134338,1.0,0
489,9.522,40.527725878068836,7,7,0.9999843835830688,0.8571428571428571,1
490,4.998,21.27258705509221,20,18,0.9160501956939696,0.7894736842105263,1
491,7.197,30.632014612944914,5,5,0.9999904036521912,1.0,0
492,4.679,19.914852907318213,5,5,0.9994446039199828,1.0,0
493,2.477,10.54265668976859,14,13,0.924959361553192,0.8888888888888888,0
494,3.709,15.78631960530953,13,12,0.9822005033493042,0.96,0
495,1.082,5.571676169122357,1,3,0.501273512840271,0.0,1
496,1.026,5.283308456117873,1,10,0.2914553284645081,0.0,1
497,1.051,5.4120440422805896,1,1,0.27087414264678955,0.0,1
498,0.821,4.227676649583601,1,9,0.31277140974998474,0.0,1
499,0.744,3.831171044202434,1,5,0.2892681062221527,0.0,1
500,0.765,3.939308936579116,1,1,0.06267696619033812,0.0,1
501,0.755,3.887814702114029,1,1,0.21831770241260529,0.0,1
502,4.419,14.900283123355944,6,6,0.99744975566864,1.0,0
503,7.326,24.702302367437348,7,7,0.999989092350006,1.0,0
504,2.885,9.727838155890904,6,6,0.998315930366516,1.0,0
505,1.913,6.4503828049287,4,4,0.9871380925178528,1.0,0
506,2.203,7.428224421985325,7,7,0.9395553469657898,1.0,0
507,2.923,9.855969126401773,8,8,0.993745505809784,1.0,0
508,0.607,1.8923415880503147,1,2,0.3295889496803284,0.0,1
509,0.391,1.2189547955974842,1,1,0.2779911756515503,0.0,1
510,0.379,1.1815444182389938,1,1,0.08209574967622757,0.0,1
511,1.167,3.638159198113208,1,1,0.3959869146347046,0.0,1
512,0.421,1.5030617433414044,1,2,0.5238578915596008,0.0,1
513,0.383,1.3673934624697337,1,3,0.31251877546310425,0.0,1
514,0.452,1.6137384987893466,1,3,0.4906066358089447,0.0,1
515,1.584,5.6552251815980625,1,7,0.2956588864326477,0.0,1
516,0.464,1.6565811138014526,1,2,0.1072477325797081,0.0,1
517,0.4,2.149313621964097,1,5,0.19830642640590668,0.0,1
518,0.362,1.945128827877508,1,5,0.17078177630901334,0.0,1
519,0.344,1.8484097148891234,1,3,0.3728927969932556,0.0,1
520,0.401,2.1546869060190073,1,3,0.3609720468521118,0.0,1
521,0.387,2.079460929250264,1,9,0.5729424953460693,0.0,1
522,0.375,1.1552888472853706,1,3,0.14188352227211,0.0,1
523,0.416,1.2816004279219044,1,6,0.4258804321289063,0.0,1
524,0.42,1.2939235089596148,1,4,0.3002015352249145,0.0,1
525,0.416,1.2816004279219044,1,11,0.2554779648780823,0.0,1
526,1.209,3.7246512436480335,1,3,0.3487865626811981,0.0,1
527,0.409,1.2600350361059105,1,4,0.2679414749145508,0.0,1
528,0.494,1.5219005081572614,1,12,0.4351485669612885,0.0,1
529,1.957,18.601754550468836,6,5,0.9984871149063109,0.9090909090909092,0
530,1.63,15.49354109211252,7,7,0.9999573826789856,1.0,0
531,1.852,17.603704357418646,12,11,0.949249804019928,0.8695652173913043,0
532,5.242,38.20274522864097,8,8,0.8667844533920288,1.0,0
533,2.565,18.69325477135904,13,12,0.7924268841743469,0.8,0
534,0.456,1.6681825256455607,1,13,0.3626775145530701,0.0,1
535,0.975,3.5668376370711,1,7,0.25137913227081304,0.0,1
536,0.463,1.6937905907322248,1,5,0.2742321193218231,0.0,1
537,0.43,1.5730668553236646,1,2,0.9743643999099731,0.0,1
538,0.503,1.8401223912274494,1,1,0.3943342864513397,0.0,1
539,2.705,17.243733591319526,4,4,0.9974660873413086,1.0,0
540,3.39,21.61044616435238,8,8,0.5963740348815918,0.5,0
541,1.457,9.288029516655284,5,5,0.9964656829833984,1.0,0
542,1.631,10.397238257834433,7,7,0.9804363250732422,1.0,0
543,1.797,11.455448895970864,17,11,0.37125363945961,0.07142857142857142,0
545,0.852,5.323076855318212,5,10,0.3235359191894531,0.0,1
546,0.716,4.473383836159436,4,6,0.31798291206359863,0.4,1
547,0.817,5.104405857740586,7,6,0.6811675429344177,0.7692307692307693,1
548,0.864,5.398049768773398,5,5,0.6356298923492432,0.4,1
549,1.292,8.072083682008369,11,10,0.9512712359428406,0.7619047619047619,1
550,1.439,6.329249374258991,3,4,0.2855190336704254,0.8571428571428571,1
551,0.967,4.25322039257015,4,4,0.7865835428237915,1.0,1
552,1.224,5.383600579633778,5,5,0.9605575799942015,1.0,1
553,2.176,9.570845474904493,19,19,0.6166233420372009,0.5263157894736842,1
554,1.785,7.851084178632592,13,12,0.9897691011428832,0.96,1
555,1.37,3.4249999999999994,6,7,0.9996679425239564,0.0,1
556,2.855,7.1375,4,9,0.9958989024162292,0.0,1
557,0.965,2.4125,5,6,0.9545599222183228,0.18181818181818185,1
558,1.592,3.98,4,12,0.9994500875473022,0.125,1
559,1.512,3.78,4,6,0.9055097103118896,0.0,1
560,0.955,7.436677419354839,5,3,0.7992020845413208,0.5,1
561,0.787,6.1284451612903235,5,4,0.5680249929428101,0.0,1
562,0.839,6.533374193548387,5,5,0.2463020831346512,0.2,1
563,0.984,7.662503225806451,9,8,0.8970072269439697,0.8235294117647058,1
564,0.44,2.824201183431953,1,13,0.38019922375679016,0.0,1
565,0.236,1.5147988165680475,1,3,0.4603008031845093,0.0,1
566,3.908,27.60348712178045,11,11,0.9992953538894652,1.0,0
